Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,combined_features
 Oracle Fusion Apps_manufacturing_any Location,6 - 11 yrs, Negotiation| Marine Operation| Oracle Fusion| Manufacturing| Inventory,System Design/Implementation/ERP/CRM,"Bengaluru,Pune","IT Software - ERP , CRM","IT-Software, Software Services",Functional Outside Consultant,73.912743,18.232257,6517," Negotiation| Marine Operation| Oracle Fusion| Manufacturing| Inventory Functional Outside Consultant IT-Software, Software Services IT Software - ERP , CRM"
 VP / Sr.vp Fire,17 - 27 yrs, Fire Safety| fire| Senior Management,Safety/Health/Environment,Delhi NCR,"Production , Manufacturing , Maintenance","Real Estate, Property",Safety Officer/Manager,77.1212148,28.6882438,5622," Fire Safety| fire| Senior Management Safety Officer/Manager Real Estate, Property Production , Manufacturing , Maintenance"
 Data Science Engineer,5 - 10 yrs, Unix| data science| SQL| Linux| SAS| HTML| Perl| SDLC| Android| Python,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",Software Developer,77.590082,12.9767936,2638," Unix| data science| SQL| Linux| SAS| HTML| Perl| SDLC| Android| Python Software Developer Medical, Healthcare, Hospitals IT Software - Application Programming , Maintenance"
Executive - Lab Instruments Maintenance, 3 - 7 Years,Installation|Breakdown Maintenance|Preventive Maintenance,"Equipment installation, calibration, validation and maintenance. Maintain the master list for preventive maintenance and calibration of GLP AND NONGLP Instruments Preparing the IQ,OQ,PQ Documentation for new equipment during installation Attend and rectifying the CENTRIFUGE,CO2 INCUBATOR ,HPLC, CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, FPLC breakdown issues Attend and rectifying the HPLC breakdown issues Coordinating with Vendors, Projects team, Validation team and end-users for installation and qualification (IQ, OQ and PQ) of all the Biologics department equipment. Zero down time maintenance of all laboratory department equipment. Maintaining stock of equipment accessories, spares and consumables as per requirement. To assist, attend and Execute Preventive Maintenance/Breakdown Maintenance for Various Biology and Analytical equipment. Attend breakdown Maintenance calls and Perform routine Preventive Maintenance for Instruments like CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, HEATING STIRRERS, FLASH CHROMATOGRAPHY SYSTEMS AND VARIOUS BIO-ANALYTICAL INSTRUMENTS IN JUBILANT BIOSYS. Working with Scientists to ensure smooth running of the Equi Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Other Employment Type: Full Time, Permanent ",Bengaluru,"Other Employment Type: Full Time, Permanent",Pharma / Biotech / Clinical Research,"Equipment installation, calibration, validation and maintenance. Maintain the master list for preventive maintenance and calibration of GLP AND NONGLP Instruments Preparing the IQ,OQ,PQ Documentation for new equipment during installation Attend and rectifying the CENTRIFUGE,CO2 INCUBATOR ,HPLC, CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, FPLC breakdown issues Attend and rectifying the HPLC breakdown issues Coordinating with Vendors, Projects team, Validation team and end-users for installation and qualification (IQ, OQ and PQ) of all the Biologics department equipment. Zero down time maintenance of all laboratory department equipment. Maintaining stock of equipment accessories, spares and consumables as per requirement. To assist, attend and Execute Preventive Maintenance/Breakdown Maintenance for Various Biology and Analytical equipment. Attend breakdown Maintenance calls and Perform routine Preventive Maintenance for Instruments like CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, HEATING STIRRERS, FLASH CHROMATOGRAPHY SYSTEMS AND VARIOUS BIO-ANALYTICAL INSTRUMENTS IN JUBILANT BIOSYS. Working with Scientists to ensure smooth running of the Equi Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Other Employment Type: Full Time, Permanent",77.590082,12.9767936,2273,"Installation|Breakdown Maintenance|Preventive Maintenance Equipment installation, calibration, validation and maintenance. Maintain the master list for preventive maintenance and calibration of GLP AND NONGLP Instruments Preparing the IQ,OQ,PQ Documentation for new equipment during installation Attend and rectifying the CENTRIFUGE,CO2 INCUBATOR ,HPLC, CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, FPLC breakdown issues Attend and rectifying the HPLC breakdown issues Coordinating with Vendors, Projects team, Validation team and end-users for installation and qualification (IQ, OQ and PQ) of all the Biologics department equipment. Zero down time maintenance of all laboratory department equipment. Maintaining stock of equipment accessories, spares and consumables as per requirement. To assist, attend and Execute Preventive Maintenance/Breakdown Maintenance for Various Biology and Analytical equipment. Attend breakdown Maintenance calls and Perform routine Preventive Maintenance for Instruments like CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, HEATING STIRRERS, FLASH CHROMATOGRAPHY SYSTEMS AND VARIOUS BIO-ANALYTICAL INSTRUMENTS IN JUBILANT BIOSYS. Working with Scientists to ensure smooth running of the Equi Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Other Employment Type: Full Time, Permanent Pharma / Biotech / Clinical Research Other Employment Type: Full Time, Permanent"
 Immediate job Opportunity For Printer Engineer in Mumbai - Vashi,1 - 2 yrs, dot matrix| printer| printer support| Laserjet| Hardware,Technical Support,Navi Mumbai,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,Customer Support Engineer/Technician,73.0198537,19.0308262,2111," dot matrix| printer| printer support| Laserjet| Hardware Customer Support Engineer/Technician IT-Hardware & Networking IT Hardware , Technical Support , Telecom Engineering"
 When you need a Roof you need a job. Come work with us,3 - 8 yrs, Outbound| Technical Support Associate| Email| Technical| US shift| Medical| Antivirus| Troubleshooting| Technical support| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,6408," Outbound| Technical Support Associate| Email| Technical| US shift| Medical| Antivirus| Troubleshooting| Technical support| Comp Associate/Senior Associate -(NonTechnical) IT-Software, Software Services ITES , BPO , KPO , LPO , Customer Service , Operations"
 Senior Data Analyst,2 - 7 yrs, Reporting| Data Analysis| Business Analytics| Data Analytics| kpo,Analytics & BI,"Mohali,Chandigarh",Analytics & Business Intelligence,"KPO, Research, Analytics",Data Analyst,76.6511232,30.7442722,2867," Reporting| Data Analysis| Business Analytics| Data Analytics| kpo Data Analyst KPO, Research, Analytics Analytics & Business Intelligence"
" Java / J2EE, Web Services also experienced in AngularJS",2 - 6 yrs, HTML| XML| Ajax| rest| Prototype| technical| developing| JSON| application architecture| SDLC| javascript| jQuery| Web services| java| application| web| design| Web designing| architecture| applications,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,6050," HTML| XML| Ajax| rest| Prototype| technical| developing| JSON| application architecture| SDLC| javascript| jQuery| Web services| java| application| web| design| Web designing| architecture| applications Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Senior US IT Recruiter / Senior US Recruiter,1 - 5 yrs, us it recruiter| us it recruitment| us it staffing| us staffing| us technical recruiter| us recruitment,HR/ Recruitment / IR,Hyderabad,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,78.4740613,17.360589,2793," us it recruiter| us it recruitment| us it staffing| us staffing| us technical recruiter| us recruitment Recruitment Executive Recruitment, Staffing HR , Recruitment , Administration , IR"
 Service Engineer - Bhiwadi,1 - 6 yrs, service engineering| maintenance| breakdown| shutdown| amc| installation| repair| troubleshooting| field service engineer| Preventive Maintenance| breakdown maintenance| Field Engineer| Electrical Engineer,Production/Manufacturing/Maintenance,"Delhi NCR,Bhiwadi","Production , Manufacturing , Maintenance","Printing, Packaging",Service/Maintenance Engineer,,,1792," service engineering| maintenance| breakdown| shutdown| amc| installation| repair| troubleshooting| field service engineer| Preventive Maintenance| breakdown maintenance| Field Engineer| Electrical Engineer Service/Maintenance Engineer Printing, Packaging Production , Manufacturing , Maintenance"
 Sales Manager,4 - 9 yrs, enterprise sales| relationship building| new business| sales strategy| B2B Sales| marketing management| cross selling| product marketing| consultative sales| b2b marketing| service sales| Corporate Sales| Key Accounts Manager,Institutional Sales,Chennai,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Sales/Business Development Manager,80.270186,13.0836939,4726," enterprise sales| relationship building| new business| sales strategy| B2B Sales| marketing management| cross selling| product marketing| consultative sales| b2b marketing| service sales| Corporate Sales| Key Accounts Manager Sales/Business Development Manager Advertising, PR, MR, Event Management Sales , Retail , Business Development"
 Accounts Executive For 1-2 Years Experience,1 - 2 yrs, accounts executive| Accounting| accounts| finance,Accounts,Noida,"Accounts , Finance , Tax , Company Secretary , Audit","BPO, Call Centre, ITeS",Accounts Executive/Accountant,77.3271074,28.5707841,2026," accounts executive| Accounting| accounts| finance Accounts Executive/Accountant BPO, Call Centre, ITeS Accounts , Finance , Tax , Company Secretary , Audit"
 Inbound Tour Manager,2 - 7 yrs, inbound| costing| selling| good communication| good communication skills| tickets| tour| experience| manager| packages,Ticketing/Travel/Documentation,Noida,"Travel , Tours , Ticketing , Airlines","Travel , Hotels , Restaurants , Airlines , Railways",Tour Management Manager/Senior Manager,77.3271074,28.5707841,3387," inbound| costing| selling| good communication| good communication skills| tickets| tour| experience| manager| packages Tour Management Manager/Senior Manager Travel , Hotels , Restaurants , Airlines , Railways Travel , Tours , Ticketing , Airlines"
 Swimming Pool Technician,1 - 3 yrs, Monthly Reports| Maintenance| Technician Activities| Water Quality,Site Engineering,Bengaluru,"Site Engineering , Project Management",Other,Maintenance Engineer,77.590082,12.9767936,4718," Monthly Reports| Maintenance| Technician Activities| Water Quality Maintenance Engineer Other Site Engineering , Project Management"
Data Science Manager, 8 - 12 Years,kaggle|NLP|data science|Artificial Intelligence|Natural Language Processing|analytical techniques|Text Mining|big data|machine learning|Deep Learning," ZS pioneers in sales force and marketing analytics applying optimization techniques to sales force and marketing investment problems. We have grown significantly and are now recognized global leaders in sales and marketing consulting. A key enabler of our services is leveraging data in delivering client solutions. The data available about customers across Healthcare and multiple industries is getting richer and the problems that our customers are trying to answer continue to evolve. In our endeavor to stay ahead of curve in providing solutions to these evolving complex business problems, ZS has set up a Data Scientist track which has following major focus areas: Research the evolving datasets and newer information sources to understand the possibilities Apply advanced analytical techniques and algorithms to improve current as well as develop cutting edge offerings/solutions Deliver client impact by collaboratively implementing and broad basing these solutions Provide thought leadership by developing the ZS Point of View in the industry The Manager position is the precursor to the Associate Principal and Principal Positions, and therefore part of the ZS leadership ladder. Every Manager leads one or more Spaces, i.e. business units focused either on a specific client, or a specific expertise area. Therefore ZS Data Science Managers are responsible for strong analytical expertise, knowledge and experience of various machine learning algorithms, tools & big data technologies, leveraging this knowledge for innovation, thought leadership, stakeholder relationship management, effectively coaching and responsible for people growth and defining-running-refining their space operating models, guided closely by Principals. Managers leverage their experience to take responsibility for providing analytical solutions across projects, deliver quality work for clients and lead client and ZS-leader relationships from beginning of their tenure. Provide expertise in architecting and implementing analytical solutions for projects Manage projects and assist in managing stakeholder relationships Direct multiple projects simultaneously, honing analytical and project management skills Motivate, coach and serve as a role model for space team members Provide thought leadership and innovation within projects and across practice areas Partner with onshore colleagues to develop new business with existing and new clients Develop and implement specific frameworks for strategy and programs Contribute to ZSs capability building and knowledge creation Coach, mentor, and conduct training programs Play an active role in India office growth related initiatives (e.g. recruiting, training, etc.). Required Candidate profile Managers have 8 - 12 years work experience in industry through consulting work or within an industry leader (a combination of experience is preferred) BE/ B.Tech / BS (stats) from Tier-1 institute would be required. PhD in Computer Science (OR Statistics) / M.Tech / MS from a premier institute would be highly preferred Substantial experience in Machine Learning Knowledge of big data/ advanced analytics concepts and algorithms text mining, social listening, recommender systems, predictive modeling, etc. Knowledge of programming Java/Python/R Exposure to tools/platforms Hadoop eco system and DB systems Agile project planning and project management skills Excellent communication skills In addition, we seek individuals with the following Desire to make a business impact for our clients Leadership experience Personal initiative and strong work ethic Self-motivation and detail orientation Organization & planning skills Communication skills Salary: Not Disclosed by Recruiter Industry: Strategy / Management Consulting Firms Functional Area: Other Employment Type: Full Time, Permanent ","Pune,Gurgaon","Other Employment Type: Full Time, Permanent",Strategy / Management Consulting Firms,"ZS pioneers in sales force and marketing analytics applying optimization techniques to sales force and marketing investment problems. We have grown significantly and are now recognized global leaders in sales and marketing consulting. A key enabler of our services is leveraging data in delivering client solutions. The data available about customers across Healthcare and multiple industries is getting richer and the problems that our customers are trying to answer continue to evolve. In our endeavor to stay ahead of curve in providing solutions to these evolving complex business problems, ZS has set up a Data Scientist track which has following major focus areas: Research the evolving datasets and newer information sources to understand the possibilities Apply advanced analytical techniques and algorithms to improve current as well as develop cutting edge offerings/solutions Deliver client impact by collaboratively implementing and broad basing these solutions Provide thought leadership by developing the ZS Point of View in the industry The Manager position is the precursor to the Associate Principal and Principal Positions, and therefore part of the ZS leadership ladder. Every Manager leads one or more Spaces, i.e. business units focused either on a specific client, or a specific expertise area. Therefore ZS Data Science Managers are responsible for strong analytical expertise, knowledge and experience of various machine learning algorithms, tools & big data technologies, leveraging this knowledge for innovation, thought leadership, stakeholder relationship management, effectively coaching and responsible for people growth and defining-running-refining their space operating models, guided closely by Principals. Managers leverage their experience to take responsibility for providing analytical solutions across projects, deliver quality work for clients and lead client and ZS-leader relationships from beginning of their tenure. Provide expertise in architecting and implementing analytical solutions for projects Manage projects and assist in managing stakeholder relationships Direct multiple projects simultaneously, honing analytical and project management skills Motivate, coach and serve as a role model for space team members Provide thought leadership and innovation within projects and across practice areas Partner with onshore colleagues to develop new business with existing and new clients Develop and implement specific frameworks for strategy and programs Contribute to ZSs capability building and knowledge creation Coach, mentor, and conduct training programs Play an active role in India office growth related initiatives (e.g. recruiting, training, etc.). Required Candidate profile Managers have 8 - 12 years work experience in industry through consulting work or within an industry leader (a combination of experience is preferred) BE/ B.Tech / BS (stats) from Tier-1 institute would be required. PhD in Computer Science (OR Statistics) / M.Tech / MS from a premier institute would be highly preferred Substantial experience in Machine Learning Knowledge of big data/ advanced analytics concepts and algorithms text mining, social listening, recommender systems, predictive modeling, etc. Knowledge of programming Java/Python/R Exposure to tools/platforms Hadoop eco system and DB systems Agile project planning and project management skills Excellent communication skills In addition, we seek individuals with the following Desire to make a business impact for our clients Leadership experience Personal initiative and strong work ethic Self-motivation and detail orientation Organization & planning skills Communication skills Salary: Not Disclosed by Recruiter Industry: Strategy / Management Consulting Firms Functional Area: Other",77.00270015,28.42826235,2506,"kaggle|NLP|data science|Artificial Intelligence|Natural Language Processing|analytical techniques|Text Mining|big data|machine learning|Deep Learning ZS pioneers in sales force and marketing analytics applying optimization techniques to sales force and marketing investment problems. We have grown significantly and are now recognized global leaders in sales and marketing consulting. A key enabler of our services is leveraging data in delivering client solutions. The data available about customers across Healthcare and multiple industries is getting richer and the problems that our customers are trying to answer continue to evolve. In our endeavor to stay ahead of curve in providing solutions to these evolving complex business problems, ZS has set up a Data Scientist track which has following major focus areas: Research the evolving datasets and newer information sources to understand the possibilities Apply advanced analytical techniques and algorithms to improve current as well as develop cutting edge offerings/solutions Deliver client impact by collaboratively implementing and broad basing these solutions Provide thought leadership by developing the ZS Point of View in the industry The Manager position is the precursor to the Associate Principal and Principal Positions, and therefore part of the ZS leadership ladder. Every Manager leads one or more Spaces, i.e. business units focused either on a specific client, or a specific expertise area. Therefore ZS Data Science Managers are responsible for strong analytical expertise, knowledge and experience of various machine learning algorithms, tools & big data technologies, leveraging this knowledge for innovation, thought leadership, stakeholder relationship management, effectively coaching and responsible for people growth and defining-running-refining their space operating models, guided closely by Principals. Managers leverage their experience to take responsibility for providing analytical solutions across projects, deliver quality work for clients and lead client and ZS-leader relationships from beginning of their tenure. Provide expertise in architecting and implementing analytical solutions for projects Manage projects and assist in managing stakeholder relationships Direct multiple projects simultaneously, honing analytical and project management skills Motivate, coach and serve as a role model for space team members Provide thought leadership and innovation within projects and across practice areas Partner with onshore colleagues to develop new business with existing and new clients Develop and implement specific frameworks for strategy and programs Contribute to ZSs capability building and knowledge creation Coach, mentor, and conduct training programs Play an active role in India office growth related initiatives (e.g. recruiting, training, etc.). Required Candidate profile Managers have 8 - 12 years work experience in industry through consulting work or within an industry leader (a combination of experience is preferred) BE/ B.Tech / BS (stats) from Tier-1 institute would be required. PhD in Computer Science (OR Statistics) / M.Tech / MS from a premier institute would be highly preferred Substantial experience in Machine Learning Knowledge of big data/ advanced analytics concepts and algorithms text mining, social listening, recommender systems, predictive modeling, etc. Knowledge of programming Java/Python/R Exposure to tools/platforms Hadoop eco system and DB systems Agile project planning and project management skills Excellent communication skills In addition, we seek individuals with the following Desire to make a business impact for our clients Leadership experience Personal initiative and strong work ethic Self-motivation and detail orientation Organization & planning skills Communication skills Salary: Not Disclosed by Recruiter Industry: Strategy / Management Consulting Firms Functional Area: Other Strategy / Management Consulting Firms Other Employment Type: Full Time, Permanent"
 Associate Vice President - Talent Acquisition - Campus Hiring Program,12 - 18 yrs, Talent Acquisition| Recruitment| HR| Campus Hiring| recruitment| recruiting,Senior Management,Bengaluru,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Head/VP/GM-Recruitment,77.590082,12.9767936,5757," Talent Acquisition| Recruitment| HR| Campus Hiring| recruitment| recruiting Head/VP/GM-Recruitment IT-Software, Software Services HR , Recruitment , Administration , IR"
 Governance & Performance-Performance Management-Professors,7 - 10 yrs, Counselor| Mentor| Trainer| Advisor| Teaching,University Level,Hyderabad,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor,78.4740613,17.360589,1816," Counselor| Mentor| Trainer| Advisor| Teaching Lecturer/Professor Education, Teaching, Training Teaching , Education , Training , Counselling"
" Manager Sales / Area Manager (tiles, Bath Fitting,paints)",6 - 11 yrs, project sales| Architects| Sales Operations| Sales Management| distributor| interior designers| Area Management| contractors| Area| Developers| consultants| dealer| territory management| Sales Manager,Retail Sales,"Delhi NCR,Kolkata,Chandigarh","Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager,,,5104," project sales| Architects| Sales Operations| Sales Management| distributor| interior designers| Area Management| contractors| Area| Developers| consultants| dealer| territory management| Sales Manager Sales/Business Development Manager Construction, Engineering, Cement, Metals Sales , Retail , Business Development"
 Operations - SME / Retail,12 - 15 yrs, Retail| marketing executive| distributors| customer profiling| sales strategy| SME| market research| Business Development| Operations| sales executive,Senior Management,Mumbai,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Head/VP/GM-Operations,72.8773928,19.0759899,6944," Retail| marketing executive| distributors| customer profiling| sales strategy| SME| market research| Business Development| Operations| sales executive Head/VP/GM-Operations Recruitment, Staffing Financial Services , Banking , Investments , Insurance"
 Assistant Manager - HR Operations,4 - 6 yrs,vide,HR/ Recruitment / IR,Pune,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Manager,73.8544541,18.521428,2647,"vide HR Manager IT-Software, Software Services HR , Recruitment , Administration , IR"
 Sr. Sales / Sales Executive,2 - 4 yrs, Manager Sales| Sales Manager| assistant sales manager| MICE| Travel Agent| Senior Sales Executive| senior sales officer| Corporate Sales| Hotel Sales| Room Sales| Sales Executive,Retail Sales,Delhi NCR (Sunder Nagar) ,"Sales , Retail , Business Development","Travel , Hotels , Restaurants , Airlines , Railways",Sales Executive/Officer,,,3929," Manager Sales| Sales Manager| assistant sales manager| MICE| Travel Agent| Senior Sales Executive| senior sales officer| Corporate Sales| Hotel Sales| Room Sales| Sales Executive Sales Executive/Officer Travel , Hotels , Restaurants , Airlines , Railways Sales , Retail , Business Development"
 Senior Business Analyst - Sql/python,3 - 5 yrs, data analysis| vba| macros| advanced excel| oracle sql| google analytics| business analysis| python| data mining| business analyst,System Design/Implementation/ERP/CRM,Delhi,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Business Analyst,77.2219388,28.6517178,2973," data analysis| vba| macros| advanced excel| oracle sql| google analytics| business analysis| python| data mining| business analyst Business Analyst IT-Software, Software Services IT Software - DBA , Datawarehousing"
" .NET Developer (asp.net, MVC, C#)",2 - 5 yrs, C#| CSS| XML| Asp Net| Javascript| Web Application| MS SQL Server| .Net| MVC| ASP.Net MVC| JQuery| Ajax,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,6630," C#| CSS| XML| Asp Net| Javascript| Web Application| MS SQL Server| .Net| MVC| ASP.Net MVC| JQuery| Ajax Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Head- Land Management.,20 - 26 yrs, land acquisition,Drug Regulatory Affairs/Documentation,Gurgaon,"Legal , Regulatory , Intellectual Property","Real Estate, Property",Head/VP/GM-Regulatory Affairs,77.00270015,28.42826235,3707," land acquisition Head/VP/GM-Regulatory Affairs Real Estate, Property Legal , Regulatory , Intellectual Property"
 Sr. Business Analyst,2 - 5 yrs, Java| Tomcat| Eclipse| OOPS| HTML| UNIX| SQL| DB2| Weblogic| XML| Flex| Oracle| PL,System Design/Implementation/ERP/CRM,Hyderabad,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Business Analyst,78.4740613,17.360589,1817," Java| Tomcat| Eclipse| OOPS| HTML| UNIX| SQL| DB2| Weblogic| XML| Flex| Oracle| PL Business Analyst Recruitment, Staffing IT Software - Application Programming , Maintenance"
 CNC Machine Operator,2 - 3 yrs, cnc| cnc operator| cnc maintenance| cnc programming,Production/Manufacturing/Maintenance,"Ahmedabad,Gandhinagar","Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Factory Head,72.5822818,23.1154284,6034," cnc| cnc operator| cnc maintenance| cnc programming Factory Head Industrial Products, Heavy Machinery Production , Manufacturing , Maintenance"
 Executive,5 - 10 yrs, Medical Representative| Senior Executive,Architectural Services,Ahmedabad,"Architecture , Interior Design","Pharma, Biotech, Clinical Research",Architect,72.5797068,23.0216238,4555," Medical Representative| Senior Executive Architect Pharma, Biotech, Clinical Research Architecture , Interior Design"
 Presales Manager - Networking,3 - 8 yrs, Sales Engineer| solution architect| Presales| solution consultant| Technology Consultant,,Mumbai,Other,IT-Hardware & Networking,Other,72.8773928,19.0759899,6026, Sales Engineer| solution architect| Presales| solution consultant| Technology Consultant Other IT-Hardware & Networking Other
 Inside Sales Executive,3 - 5 yrs, Inside Sales| Lead Generation| Cold Calling| New Business| Customer Service| Proposal Writing| Follow Ups| Sales Executive Activities| Communication Skills| Convincing Power,Corporate Sales,"Delhi NCR,Bengaluru","Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,121.0977529,14.6719732,5338," Inside Sales| Lead Generation| Cold Calling| New Business| Customer Service| Proposal Writing| Follow Ups| Sales Executive Activities| Communication Skills| Convincing Power Sales Executive/Officer IT-Software, Software Services Sales , Retail , Business Development"
 Customer Care Executive,0 - 1 yrs, Customer Care| Inbound Process| Night Shift| Customer Care Executive| Customer Care Officer| BPO| Domestic BPO| International BPO,Other,Delhi NCR,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher,77.1212148,28.6882438,4752," Customer Care| Inbound Process| Night Shift| Customer Care Executive| Customer Care Officer| BPO| Domestic BPO| International BPO Fresher BPO, Call Centre, ITeS ITES , BPO , KPO , LPO , Customer Service , Operations"
 HR - Talent scout specialist,2 - 4 yrs, Performance management| Analytical| Design development| Conceptualization| HR| Continuous improvement| Sales support| Recruitment| Testing,Senior Management,Thane,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Head/VP/GM-HR,72.9701779,19.1943294,3948," Performance management| Analytical| Design development| Conceptualization| HR| Continuous improvement| Sales support| Recruitment| Testing Head/VP/GM-HR IT-Software, Software Services HR , Recruitment , Administration , IR"
 Sr. Sales Manager,8 - 10 yrs, Service delivery| Bfsi| enterprise mobility| Market intelligence| Tools| Application development| Sales process| microsoft| Middleware| Business Executive,Retail Sales,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,72.8773928,19.0759899,3816," Service delivery| Bfsi| enterprise mobility| Market intelligence| Tools| Application development| Sales process| microsoft| Middleware| Business Executive Sales/Business Development Manager IT-Software, Software Services Sales , Retail , Business Development"
 Laundry Executive,1 - 3 yrs, laundry,Housekeeping,Mumbai,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Housekeeping Executive/Assistant.,72.8773928,19.0759899,1950," laundry Housekeeping Executive/Assistant. Travel , Hotels , Restaurants , Airlines , Railways Hotels , Restaurants"
 Accounts executive,2 - 7 yrs, TDS| Financial statements| Invoice processing| business opportunity| Interpersonal skills| Tally ERP| Accounting| Analytical| Accounts receivable| Recruitment,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant,73.8544541,18.521428,3634," TDS| Financial statements| Invoice processing| business opportunity| Interpersonal skills| Tally ERP| Accounting| Analytical| Accounts receivable| Recruitment Accounts Executive/Accountant Recruitment, Staffing Accounts , Finance , Tax , Company Secretary , Audit"
 MBA HR - Experience,5 - 10 yrs, ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,Hyderabad,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Manager,78.4740613,17.360589,4379," ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition HR Manager IT-Software, Software Services HR , Recruitment , Administration , IR"
 System Analyst,2 - 3 yrs, T-SQL| Web technologies| data manipulation| MIS| XML| Data structures| System Analyst| JSON| Scripting,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","Media, Entertainment, Internet",System Analyst,73.8544541,18.521428,3638," T-SQL| Web technologies| data manipulation| MIS| XML| Data structures| System Analyst| JSON| Scripting System Analyst Media, Entertainment, Internet IT Software - Application Programming , Maintenance"
 Account Assistance,2 - 3 yrs, Audit| Credit Officers| Internal audit| Accounting| Finance| Tax| Accounts| Risk Management,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Internet, Ecommerce",Accounts Executive/Accountant,73.8544541,18.521428,6372," Audit| Credit Officers| Internal audit| Accounting| Finance| Tax| Accounts| Risk Management Accounts Executive/Accountant Internet, Ecommerce Accounts , Finance , Tax , Company Secretary , Audit"
 Senior Embedded Engineer,3 - 5 yrs, gsm| ethernet| development| optimization| product development| troubleshooting| gps| lcd| embedded| spi,Programming & Design,Ahmedabad,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Team Lead/Technical Lead,72.5797068,23.0216238,4199," gsm| ethernet| development| optimization| product development| troubleshooting| gps| lcd| embedded| spi Team Lead/Technical Lead IT-Software, Software Services IT Software - Embedded , EDA , VLSI , ASIC , Chip Design"
 Urgent Opening For Asst. Manager-it Infrastructure - Mumbai,4 - 7 yrs, Fortigate| Networking| Routing| Hyper - V| Dlp| Sophos| Windows| Virtualization| Switching| Firewall,Admin/Maintenance/Security/Datawarehousing,Mumbai,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Technical Support Engineer,72.8773928,19.0759899,1874," Fortigate| Networking| Routing| Hyper - V| Dlp| Sophos| Windows| Virtualization| Switching| Firewall Technical Support Engineer Banking, Financial Services, Broking IT Software - Application Programming , Maintenance"
 Java Developer,4 - 8 yrs, Java| Spring Boot| Web Services| Microservices,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,3145," Java| Spring Boot| Web Services| Microservices Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
